platform,store_name,review_text,tokens,tokens_fixed,rating,category_total_score,category_total_label,sentiment_star_raw,sentiment_star,sentiment_calibration_reason,diff,diff_abs,very_strong_positive_count,strong_positive_count,normal_positive_count,weak_positive_count,very_strong_negative_count,strong_negative_count,normal_negative_count,weak_negative_count,positive_evidence_count,negative_evidence_count,revisit_positive_count,recommendation_count,waiting_positive_count,waiting_negative_count,positive_phrase_count,phrase_score_total,dictionary_score_total,context_guard_score_total,evidence_items,evidence_floor_items,matched_words,food_score,service_score,price_score,atmosphere_score,wait_score,revisit_score,recommendation_score,hygiene_score,general_score,food_matched_words,service_matched_words,price_matched_words,atmosphere_matched_words,wait_matched_words,revisit_matched_words,recommendation_matched_words,hygiene_matched_words,general_matched_words
kakao,각시보쌈,확신의 맛집 무조건 반반보쌈으로 ㄱㄱ 단 시끄러운거 싫어하면 절대 평일 저녁엔 가지마세요 할저씨들 술시켜놓고 고성방가 심함..,확신 맛집 무조건 보쌈 시끄럽다 싫어하다 절대 평일 저녁 가지 말다 술시 켜다 고성 방가 심하다,확신 맛집 무조건 보쌈 시끄럽다 싫어하다 절대 평일 저녁 가지 말다 술시 켜다 고성 방가 심하다,5.0,-2.5,negative,2.53,2.53,,2.47,2.47,0,0,1,1,0,1,1,2,1,3,0,0,0,0,0,0.0,-2.5,0.0,"[{""text"": ""확신 맛집"", ""normalized_text"": ""확신 맛집"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 0, ""end"": 2, ""is_active"": true, ""guard_reason"": null, ""term"": ""확신 맛집"", ""category"": ""food""}, {""text"": ""시끄럽다 싫어하다"", ""normalized_text"": ""시끄럽다 싫어하다"", ""score"": -0.5, ""original_score"": -2.0, ""polarity"": ""negative"", ""strength"": ""weak"", ""aspect"": ""atmosphere"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 4, ""end"": 6, ""is_active"": true, ""guard_reason"": null, ""term"": ""시끄럽다 싫어하다"", ""category"": ""atmosphere""}, {""text"": ""고성 방가"", ""normalized_text"": ""고성 방가"", ""score"": -2.0, ""original_score"": -2.0, ""polarity"": ""negative"", ""strength"": ""strong"", ""aspect"": ""atmosphere"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 13, ""end"": 15, ""is_active"": true, ""guard_reason"": null, ""term"": ""고성 방가"", ""category"": ""atmosphere""}, {""text"": ""심하다"", ""normalized_text"": ""심하다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 15, ""end"": 16, ""is_active"": true, ""guard_reason"": null, ""term"": ""심하다"", ""category"": ""general""}, {""text"": ""가지 말다"", ""normalized_text"": ""가지 말다"", ""score"": 0.0, ""original_score"": -1.0, ""polarity"": ""neutral"", ""strength"": ""weak"", ""aspect"": ""general"", ""source"": ""context_guard"", ""tag"": ""conditional_warning_not_revisit_rejection"", ""start"": 9, ""end"": 11, ""is_active"": false, ""guard_reason"": ""conditional_warning_not_revisit_rejection"", ""term"": ""가지 말다"", ""category"": ""general""}, {""text"": ""조건부 이용 경고"", ""normalized_text"": ""조건부 이용 경고"", ""score"": 0.0, ""original_score"": -1.0, ""polarity"": ""neutral"", ""strength"": ""weak"", ""aspect"": ""revisit"", ""source"": ""context_guard"", ""tag"": ""conditional_warning_not_revisit_rejection"", ""start"": null, ""end"": null, ""is_active"": false, ""guard_reason"": ""conditional_warning_not_revisit_rejection"", ""term"": ""조건부 이용 경고"", ""category"": ""revisit""}]",[],확신 맛집:+1[token] | 시끄럽다 싫어하다:-0.5[token] | 고성 방가:-2[token] | 심하다:-1[token] | 가지 말다:-1->0[conditional_warning_not_revisit_rejection] | 조건부 이용 경고:-1->0[conditional_warning_not_revisit_rejection],1.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,-1.0,확신 맛집:+1[token],,,시끄럽다 싫어하다:-0.5[token] 고성 방가:-2[token],,조건부 이용 경고:-1->0[conditional_warning_not_revisit_rejection],,,심하다:-1[token] 가지 말다:-1->0[conditional_warning_not_revisit_rejection]
kakao,각시보쌈,항정살 보쌈이 부들부들 맛있었습니다. 김치도 달지도 않고 보쌈과의 조합도 잘 맞네요 문래점에서 먹고 실망했는데 본점은 다르네요 다만 규모에 비해 에어컨이 부족하여 땀흘리며 먹었네요... ㅠㅠ,항정살 보쌈 부들부들 맛있다 김치 달다 않다 보쌈 조합 자다 맞다 문래 먹다 실망하다 본점 다르다 다만 규모 비다 에어컨 부족하다 흘리다 먹다,항정살 보쌈 부들부들 맛있다 김치 달다 않다 보쌈 조합 자다 맞다 문래 먹다 실망하다 본점 다르다 다만 규모 비다 에어컨 부족하다 흘리다 먹다,4.0,-3.0,negative,2.06,2.06,,1.94,1.94,0,0,1,1,0,1,2,2,1,3,0,0,0,0,0,0.0,-1.0,-2.0,"[{""text"": ""맛있다"", ""normalized_text"": ""맛있다"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 3, ""end"": 4, ""is_active"": true, ""guard_reason"": null, ""term"": ""맛있다"", ""category"": ""food""}, {""text"": ""실망하다"", ""normalized_text"": ""실망하다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 13, ""end"": 14, ""is_active"": true, ""guard_reason"": null, ""term"": ""실망하다"", ""category"": ""general""}, {""text"": ""부족하다"", ""normalized_text"": ""부족하다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 20, ""end"": 21, ""is_active"": true, ""guard_reason"": null, ""term"": ""부족하다"", ""category"": ""general""}, {""text"": ""명시적 현재 부정 결론"", ""normalized_text"": ""명시적 현재 부정 결론"", ""score"": -2.0, ""original_score"": -2.0, ""polarity"": ""negative"", ""strength"": ""strong"", ""aspect"": ""general"", ""source"": ""context_guard"", ""tag"": ""active_current_negative_conclusion"", ""start"": null, ""end"": null, ""is_active"": true, ""guard_reason"": null, ""term"": ""명시적 현재 부정 결론"", ""category"": ""general""}]",[],맛있다:+1[token] | 실망하다:-1[token] | 부족하다:-1[token] | 명시적 현재 부정 결론:-2[active_current_negative_conclusion],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,맛있다:+1[token],,,,,,,,실망하다:-1[token] 부족하다:-1[token] 명시적 현재 부정 결론:-2[active_current_negative_conclusion]
kakao,옥동식 서교점,맛에 비해 웨이팅이 너무 길다,비다 웨이팅 너무 길다,비다 웨이팅 너무 길다,4.0,-0.5,negative,2.91,2.91,,1.0899999999999999,1.0899999999999999,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.5,0.0,"[{""text"": ""웨이팅 너무 길다"", ""normalized_text"": ""웨이팅 너무 길다"", ""score"": -0.5, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""weak"", ""aspect"": ""wait"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 1, ""end"": 4, ""is_active"": true, ""guard_reason"": null, ""term"": ""웨이팅 너무 길다"", ""category"": ""wait""}]",[],웨이팅 너무 길다:-0.5[token],0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,,,,,웨이팅 너무 길다:-0.5[token],,,,
kakao,옥동식 서교점,웨이팅 2시간 했습니다 신기한 맛이에요 국물맛이 가벼운데 짠 맛이 좀 강해요 김치만두는 굳이 안 먹어도 될 것 같아요 평범한 느낌,웨이 신기하다 국물 가볍다 짜다 강하다 김치 만두 굳이 먹다 같다 평범하다 느낌,웨이 신기하다 국물 가볍다 짜다 강하다 김치 만두 굳이 먹다 같다 평범하다 느낌,4.0,0.0,neutral,3.0,3.0,,1.0,1.0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,"[{""text"": ""신기하다"", ""normalized_text"": ""신기하다"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 1, ""end"": 2, ""is_active"": true, ""guard_reason"": null, ""term"": ""신기하다"", ""category"": ""food""}, {""text"": ""짜다"", ""normalized_text"": ""짜다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 4, ""end"": 5, ""is_active"": true, ""guard_reason"": null, ""term"": ""짜다"", ""category"": ""food""}, {""text"": ""굳이"", ""normalized_text"": ""굳이"", ""score"": 0.0, ""original_score"": -1.0, ""polarity"": ""neutral"", ""strength"": ""weak"", ""aspect"": ""general"", ""source"": ""context_guard"", ""tag"": ""non_evaluative_standalone_negative"", ""start"": 8, ""end"": 9, ""is_active"": false, ""guard_reason"": ""non_evaluative_standalone_negative"", ""term"": ""굳이"", ""category"": ""general""}, {""text"": ""평범하다"", ""normalized_text"": ""평범하다"", ""score"": 0.0, ""original_score"": -1.0, ""polarity"": ""neutral"", ""strength"": ""weak"", ""aspect"": ""general"", ""source"": ""context_guard"", ""tag"": ""mild_evaluation_ambiguous_context"", ""start"": 11, ""end"": 12, ""is_active"": false, ""guard_reason"": ""mild_evaluation_ambiguous_context"", ""term"": ""평범하다"", ""category"": ""general""}]",[],신기하다:+1[token] | 짜다:-1[token] | 굳이:-1->0[non_evaluative_standalone_negative] | 평범하다:-1->0[mild_evaluation_ambiguous_context],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,신기하다:+1[token] 짜다:-1[token],,,,,,,,굳이:-1->0[non_evaluative_standalone_negative] 평범하다:-1->0[mild_evaluation_ambiguous_context]
kakao,옥동식 서교점,30분 이내 대기면 드세요. 그 이상은 좀 미묘한데 대기가 많네요. 전 110분 기다림,이내 대기 들다 이상은 미묘하다 대기 많다 기다림,이내 대기 들다 이상은 미묘하다 대기 많다 기다림,4.0,0.0,neutral,3.0,3.0,,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
kakao,옥동식 서교점,웨이팅 할 정도는..,웨이 정도,웨이 정도,4.0,0.0,neutral,3.0,3.0,,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
kakao,을밀대 본점,그냥 준수하게 잘 만든 평양냉면이다. 다만 굳이 간다면 을밀대를 갈 거 같다. 아니면 진미나.,그냥 준수 자다 만들다 평양 냉면 다만 굳이 간다 을밀대 갈다 같다 아니다 진미,그냥 준수 자다 만들다 평양 냉면 다만 굳이 간다 을밀대 갈다 같다 아니다 진미,4.0,0.0,neutral,3.0,3.0,,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"[{""text"": ""굳이"", ""normalized_text"": ""굳이"", ""score"": 0.0, ""original_score"": -1.0, ""polarity"": ""neutral"", ""strength"": ""weak"", ""aspect"": ""general"", ""source"": ""context_guard"", ""tag"": ""non_evaluative_standalone_negative"", ""start"": 7, ""end"": 8, ""is_active"": false, ""guard_reason"": ""non_evaluative_standalone_negative"", ""term"": ""굳이"", ""category"": ""general""}]",[],굳이:-1->0[non_evaluative_standalone_negative],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,굳이:-1->0[non_evaluative_standalone_negative]
kakao,을밀대 본점,주사위 굴리듯 육수맛이 변합니다. 평균적으로 5가 나오고요.. 가끔 6나오면 사람 미칩니다. 2나 3이 나올 땐 아쉬운 마음 가득..,주사위 굳다 변하다 평균 가다 나오다 가끔 나오다 사람 미치다 나오다 아쉽다 마음 가득,주사위 굳다 변하다 평균 가다 나오다 가끔 나오다 사람 미치다 나오다 아쉽다 마음 가득,4.0,-1.0,negative,2.66,2.66,,1.3399999999999999,1.3399999999999999,0,0,1,1,0,0,2,2,1,2,0,0,0,0,0,0.0,-1.0,0.0,"[{""text"": ""변하다"", ""normalized_text"": ""변하다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 2, ""end"": 3, ""is_active"": true, ""guard_reason"": null, ""term"": ""변하다"", ""category"": ""general""}, {""text"": ""미치다"", ""normalized_text"": ""미치다"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 9, ""end"": 10, ""is_active"": true, ""guard_reason"": null, ""term"": ""미치다"", ""category"": ""general""}, {""text"": ""아쉽다"", ""normalized_text"": ""아쉽다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 11, ""end"": 12, ""is_active"": true, ""guard_reason"": null, ""term"": ""아쉽다"", ""category"": ""general""}]",[],변하다:-1[token] | 미치다:+1[token] | 아쉽다:-1[token],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,,,변하다:-1[token] 미치다:+1[token] 아쉽다:-1[token]
kakao,을밀대 본점,엄마가 제일 좋아하는 평냉집! 둘이 가서 평냉 하나에 빈대떡 하나 시켜 나눠먹고 후식으로 옆에 꽈배기집에서 통모짜핫도그 먹으면 갓벽한 염리동 루트,엄마 제일 좋아하다 평냉집 가다 평냉 하나 빈대떡 하나 시키다 나누다 먹다 후식 꽈배기 통모 짜다 핫도그 먹다 염리동 루트,엄마 제일 좋아하다 평냉집 가다 평냉 하나 빈대떡 하나 시키다 나누다 먹다 후식 꽈배기 통모 짜다 핫도그 먹다 염리동 루트,4.0,0.0,neutral,2.92,2.92,,1.08,1.08,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,"[{""text"": ""좋아하다"", ""normalized_text"": ""좋아하다"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""general"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 2, ""end"": 3, ""is_active"": true, ""guard_reason"": null, ""term"": ""좋아하다"", ""category"": ""general""}, {""text"": ""짜다"", ""normalized_text"": ""짜다"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 15, ""end"": 16, ""is_active"": true, ""guard_reason"": null, ""term"": ""짜다"", ""category"": ""food""}]",[],좋아하다:+1[token] | 짜다:-1[token],-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,짜다:-1[token],,,,,,,,좋아하다:+1[token]
kakao,을밀대 본점,메밀향 너무 진하고 면이 너무 질겨서 가위를 주셨다 맛은 있었지만 내타입은 아닌걸로…,메밀 너무 진하다 너무 질겨 가위 주다 타입 아니다,메밀 너무 진하다 너무 질겨 가위 주다 타입 아니다,4.0,0.0,neutral,3.0,3.0,,1.0,1.0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,"[{""text"": ""진하다"", ""normalized_text"": ""진하다"", ""score"": 1.0, ""original_score"": 1.0, ""polarity"": ""positive"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 2, ""end"": 3, ""is_active"": true, ""guard_reason"": null, ""term"": ""진하다"", ""category"": ""food""}, {""text"": ""질겨"", ""normalized_text"": ""질겨"", ""score"": -1.0, ""original_score"": -1.0, ""polarity"": ""negative"", ""strength"": ""normal"", ""aspect"": ""food"", ""source"": ""dictionary"", ""tag"": ""token"", ""start"": 4, ""end"": 5, ""is_active"": true, ""guard_reason"": null, ""term"": ""질겨"", ""category"": ""food""}]",[],진하다:+1[token] | 질겨:-1[token],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,진하다:+1[token] 질겨:-1[token],,,,,,,,
