식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,정제 리뷰,토큰,감성단어,감성점수,감성라벨
페르시안궁전,sun****,35,2026.04.10,1번째 방문,영수증,식당 인테리어가 정말 화려하고 현지에 온 거 같은 느낌이 드네요!!!ㅋㅋㅋㅋ 카레도 정말 맛있고 밥도 엄청 맛있습니다!!!!!! 카레 먹으러 또 올 거 같습니다,89,True,식당 인테리어가 정말 화려하고 현지에 온 거 같은 느낌이 드네요 카레도 정말 맛있고 밥도 엄청 맛있습니다 카레 먹으러 또 올 거 같습니다,"식당, 인테리어, 현지, 느낌, 카레, 맛있, 맛있, 카레","맛있, 맛있",4,긍정
페르시안궁전,thi****,7,2026.04.10,1번째 방문,영수증,"드디어 와본 페르시안 궁전! 통닭카레에 적셔먹는 난과 밥이 엄청 맛있다고 많이 들어서 기대를 많이 했는데, 기대보다 더 끝내주는 맛입니다~ 너무 만족스러운 식사였어요",92,True,드디어 와본 페르시안 궁전 통닭카레에 적셔먹는 난과 밥이 엄청 맛있다고 많이 들어서 기대를 많이 했는데 기대보다 더 끝내주는 맛입니다 너무 만족스러운 식사였어요,"페르시안, 궁전, 통닭, 카레, 적시, 맛있, 기대, 기대, 끝내주, 만족, 식사","맛있, 만족",4,긍정
페르시안궁전,떠나자아,35,2026.04.10,8번째 방문,영수증,몇번째 온건지 기억도 안나네요ㅋㅋ맛이야 말모~언제까지 다닐껀지도 확답못함요..나이가 너무 들어서 못올때까지 와서 먹을꺼같네요!!!짱맛,74,True,몇번째 온건지 기억도 안나네요 맛이야 말모 언제까지 다닐껀지도 확답못함요 나이가 너무 들어서 못올때까지 와서 먹을꺼같네요 짱맛,"기억, 언제, 다니, 확답, 나이",,0,중립
페르시안궁전,메롱이다aa,30,2026.04.10,1번째 방문,영수증,완전 페르시안궁전에 온 것 같아요..분위기짱 카레도 너무너무 맛있습니다ㅜㅜ 사장님도 친절하세요👍👍,54,True,완전 페르시안궁전에 온 것 같아요 분위기짱 카레도 너무너무 맛있습니다 사장님도 친절하세요,"페르시안, 궁전, 분위기, 카레, 맛있, 사장, 친절","맛있, 친절",4,긍정
페르시안궁전,열과옴살,34,2026.04.10,1번째 방문,영수증,"처음 와봤는데, 맛있게 먹고 갑니다. 분위기도 현지 분위기라 독특하고 신기해요!",44,True,처음 와봤는데 맛있게 먹고 갑니다 분위기도 현지 분위기라 독특하고 신기해요,"처음, 맛있, 분위기, 현지, 분위기, 독특",맛있,2,긍정
페르시안궁전,저글링2,16,2026.04.10,2번째 방문,영수증,인도식 커리 좋아해서 인도식 커리 가게 자주 다니는데 경복궁 왔다가 근처에서 유명하다길래 먹었습니다. 굉장히 맛있었고 가격도 괜찮은 편입니다. 다음에도 또 방문할거 같습니다,96,True,인도식 커리 좋아해서 인도식 커리 가게 자주 다니는데 경복궁 왔다가 근처에서 유명하다길래 먹었습니다 굉장히 맛있었고 가격도 괜찮은 편입니다 다음에도 또 방문할거 같습니다,"인도, 커리, 좋아하, 인도, 커리, 가게, 다니, 경복궁, 근처, 유명, 맛있, 가격, 괜찮, 다음, 방문","좋, 맛있",4,긍정
페르시안궁전,종석박,23,2026.04.10,1번째 방문,영수증,오랜만에 방문한 페르시안궁전! 역시 쿠비데케밥은 너무 맛있어요. 커리말고 케밥도 드셔보세요!,51,True,오랜만에 방문한 페르시안궁전 역시 쿠비데케밥은 너무 맛있어요 커리말고 케밥도 드셔보세요,"오랜만, 방문, 페르시안, 궁전, 쿠비데케밥, 맛있, 커리, 케밥, 드시",맛있,2,긍정
페르시안궁전,니까뮈체,39,2026.04.09,1번째 방문,영수증,궁금해서 처음 와봤는데 존맛입니당!! 또 와볼게오,27,True,궁금해서 처음 와봤는데 존맛입니당 또 와볼게오,처음,,0,중립
페르시안궁전,dlr****,20,2026.04.08,1번째 방문,영수증,유명해서 항상 와보고 싶었는데 처음 방문합니다 더들리 맛집 인증입니다 다음에 또 올게요~,49,True,유명해서 항상 와보고 싶었는데 처음 방문합니다 더들리 맛집 인증입니다 다음에 또 올게요,"유명, 처음, 방문, 더들리, 맛집, 인증, 다음",,0,중립
페르시안궁전,ekt****,21,2026.04.08,1번째 방문,영수증,인도카레가 땡겨서 왔는데 너무 맛있어요! 가게도 컨셉추알하게 꾸며져 있어서 구경하는 맛이 있었습니다ㅎㅎ 맛있게 잘 먹었습니당☺️,71,True,인도카레가 땡겨서 왔는데 너무 맛있어요 가게도 컨셉추알하게 꾸며져 있어서 구경하는 맛이 있었습니다 맛있게 잘 먹었습니당,"인도, 카레, 땡기, 맛있, 가게, 컨셉, 꾸미, 구경, 맛있","맛있, 맛있",4,긍정
