가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
문화식당,이영선,1,5,2026-03-29,5.0,True,138,생일맞아 가족과 함께 방문했는데요 서비스로 메뉴에 없던 미역국도 끓여주시고 생일축하 왕관까지 쓸 수 있게 해 주시고 음식도 고객을 향한 직원들의 친절도도 별 다섯개가 모자랍니다. 백만개 드리고 싶습니다. 어제 정말 행복한 날 이었습니다. 감사합니다,브론즈 레벨
문화식당,멍이,1,5,2026-03-06,5.0,False,184,원래 후기 한 번도 남겨본적 없는데 너무 만족해서 처음 써봅니다. 대표메뉴 두 개 주문했는데 삽합 양이 진짜 많고 정말 맛있었어요 오므라이스도 소스랑 잘 어울려서 넘 만족스러웠습니다 무엇보다 창가쪽 앉았는데 분위기가 정말 좋았고 서비스로 리코타치즈가 들어간 작은 후식도 주셨어요 날이 추웠는데 나갈 때 핫팩도 주셔서 감동이었습니다,브론즈 레벨
문화식당,kingB,18,3.6,2026-02-08,4.0,False,63,"가격은 적당한 편 , 맛도 괜찮은 편, 특히 분위기가 좋아 데이트로 좋은 듯, 날씨 좋을 때 재방문 하고 싶은 곳",실버 레벨
문화식당,오리링,25,4.4,2026-01-01,5.0,False,61,와 너무 좋은 곳을 알게되었어요! 맛도 최고 분위기도 최고 직원도 최고예요!! 가족들도 인정한 맛집입니당 ㅎㅎ,실버 레벨
문화식당,까칠촌놈,110,4.1,2025-12-26,4.0,False,21,"한식 같은, 한식 아닌, 한식 같은 너",실버 레벨
문화식당,안녕하세요,230,4.2,2025-11-30,5.0,False,24,음식 맛도 가격도 무난 친절하고 분위기 좋음,골드 레벨
문화식당,순라 Jade,51,4.5,2025-11-21,5.0,True,34,생일 파티하기 너무 좋은 곳 생일이 아니어도 또 가고 싶은 곳,실버 레벨
문화식당,별,3,4,2025-11-18,5.0,True,15,김치볶음밥 레시피좀 알려줘유,브론즈 레벨
문화식당,뀨,133,3.8,2025-11-08,4.0,False,130,생각보다 매장이 넓음 서버분들 전문적인 느낌 분위기 좋고 가을에 가면 은행나무가 예쁨 삼합이 제일 유명하다는데 너므 소스가 달아서 개인적으론 별로였고 비스큐파스타랑 뇨끼는 존맛이었음 가성비도 괜찮은 편인거같구 디저트가 나오는것도 좋음,골드 레벨
문화식당,Raningtaco,39,4.1,2025-08-28,4.0,False,96,로제가 왔다갔대서 갔는데 좋았다. 가장 좋은 건 테이블간 거리가 넓찍해서 분리 잘 된 것. 그리고 직원분들 친절하심. 맛은 가격 대비 그냥 그렇다. 블랑 생맥 팔아서 좋다ㅎ,실버 레벨
문화식당,뿡빵,270,4.4,2025-08-09,5.0,True,34,진짜오랜만에 너무 만족한 식당. 이번년도 안에 꼭 다시올게요😍,골드 레벨
문화식당,주관적 평점,50,3.7,2025-08-05,5.0,True,55,생일이나 기념일에 오기 분위기 좋고 음식도 어느정도 중상입니다. 어설프진 않아서 약속장소로 추천해여,실버 레벨
문화식당,맛햄,12,4.7,2025-07-25,5.0,True,24,분위기도 좋구 까르보나라가 참 맛있었어요👍🏻,실버 레벨
문화식당,ㅎ,3,5,2025-07-21,5.0,True,45,입구부터 분위기 너무 좋고요 음식 시킨거 하나하나 다 맛있었어요 또 방문하겠습니다,브론즈 레벨
문화식당,도야지,227,3.4,2025-07-17,3.0,True,105,황제갈비랑 삼합 먹었고 생각보다 평범했음. 자리가 프라이빗하고 브레이크가 4시부터라서 늦은 방문해도 부담없었음. 칮아와 먹을정도는 아님. 삼합은 한식퓨전파스타 느낌이고 고기는 양이 좀 아숩,골드 레벨
문화식당,🤔,34,4.1,2025-07-16,3.0,False,5,평범합니다,실버 레벨
문화식당,J,4,3,2025-07-16,1.0,False,69,카맵 별점도 때로는 완전히 틀릴 수 있구나 싶었던 곳 (맛이 별로…) 그래도 응대는 매끄러운 편이었고 직원분들은 친절하셨어요,실버 레벨
문화식당,유림,7,4.7,2025-07-02,5.0,True,19,"뷰도 예쁘고, 음식도 맛있었어요 !",브론즈 레벨
문화식당,길잃은,94,3.8,2025-07-01,3.0,False,37,면도 바릴라 인 것 같고 냉 파스타는 우동면이고 맛도 그냥 평범해요,골드 레벨
문화식당,puuuu,10,3.6,2025-06-13,5.0,True,36,직원분들의 친절한 응대에 기분좋게 식사할 수 있었어요 맛도 최고!,실버 레벨
문화식당,tsson,7,3.4,2025-06-02,5.0,False,57,"미리 세심하게 자리 세팅해주시고... 서비스, 맛 모두 넘 만족스러웠어요. 특별한 날 또 방문하겠습니당",브론즈 레벨
문화식당,박종윤,207,4.3,2025-05-31,5.0,True,10,2025.05.31,골드 레벨
문화식당,..,57,3.8,2025-05-31,5.0,True,25,맛있게잘먹었굽니다~~~스테이크 까지 완벽했어요,실버 레벨
문화식당,고독을가끔만즐기는미식가,69,3.8,2025-05-10,3.0,False,11,생각보다는 무난한 맛,실버 레벨
문화식당,痕跡器官,10,5,2025-05-10,5.0,False,74,두부김치 라자냐하고 삼합 먹었는데 맛있고 양도 많았어요. 직원분들 친절하고 테이블 간 간섭도 최소한으로 배치한 공간도 마음에 듭니다.,실버 레벨
문화식당,이렇게나먹부림이심해서큰일,60,2.9,2025-05-09,2.0,False,6,인스타 맛집,실버 레벨
문화식당,고로롱,19,4.3,2025-04-30,5.0,True,36,이정도 분위기에 이정도 맛이면 가격대도 훌륭합니다! 뇨끼 맛있어요,실버 레벨
문화식당,슈우크림,43,4.6,2025-04-27,5.0,True,148,음식도 너무 맛있고 분위기가 너무 좋아요 무엇보다도 반려동물 동반 식당이라 방문한 식당이었는데 너무너무 배려해 주시고 모든 직원분들이 친절하셔서 저희 강아지도 편하게 머물다가 간 것 같아요 다음에도 무조건 또 방문할 예정입니다 좋은 추억 만들어주셔서 정말 감사합니다,실버 레벨
문화식당,Modernz,9,3.4,2025-04-27,5.0,False,60,"드라이브겸 방문 했는데, 너무 맛있고 메뉴도 정갈하며 직원태도 분위기도 친절했습니다. 재방문의사 가득합니다.",실버 레벨
문화식당,신현득,3,5,2025-04-25,5.0,True,92,"생일축하를 위해 작은 딸이 마련한 식사자리, 성북동 문화식당 분위기 좋고 친절하고 음식 맛도 좋았다 특히 시그니처 메뉴를 구순 어르신도 맛있다고 연신 말씀하시니..ㅎ",브론즈 레벨
문화식당,.,28,3.8,2025-04-03,5.0,True,58,분위기도 넘 좋구 음식 진짜 넘 맛있어요!! 비슷한 듯 색다른 메뉴들 & 모두 맛있어서 대만족이었습니다🥰,실버 레벨
문화식당,맛있는거조하 :ᴅ,84,4.6,2025-03-31,5.0,True,41,분위기가 너무 좋고 음식도 너무 맛있어요!!! 꼭 다시 갈게요>< ❣️❣️,골드 레벨
문화식당,3점이중간점수,356,3.1,2025-02-28,3.0,False,50,맛은 그냥 그런데 분위기가 좋고 친절한편 새컵에 립스틱 자국 있던거 말했더니 바로 바꿔주심,골드 레벨
문화식당,딩가링딩가,47,4.5,2025-02-11,5.0,True,122,"기념일에 가족들과 자주 방문하는 장소입니다❣️ 메뉴의 가격대가 저렴한 편은 아니나 직원분들도 정말 친절하시고, 음식들도 빠짐없이 정말 맛있습니다🥺 가을철에 방문하면 분위기도 좋습니당 굳이 첨언하면 매장이 조금 어두워요!",실버 레벨
문화식당,실버,20,4.6,2025-02-10,5.0,True,103,"일단 분위기가 정말 좋았어요 ! 테이블마다 공간분리도 잘 되어있어서 모임하기 딱 조아요 💓 삼합파스타는 오일파스타,깻잎,간장 양념된 차돌 삼박자가 딱 맞아서 맛도리에요 🤤 삼합강추합니다",실버 레벨
문화식당,맛집좋아,2,5,2025-01-13,5.0,True,50,아들생일 이어서 방문한 곳~ 저는 삼합이 특히 맛있었어요 다른음식도 괜찮았고 모두 친절하심,브론즈 레벨
