term,count
EMO_POS EMO_POS,105
너무 맛있어요,28
직원분들도 친절하시고,27
너무 맛있고,25
재방문 의사,24
양도 많고,20
기분 좋게,18
너무 좋아요,17
웨이팅 없이,17
너무 친절하시고,16
직원분들도 너무,15
직접 구워주셔서,15
너무 맛있게,15
구워주셔서 편하게,14
너무 좋고,13
진짜 맛있어요,12
분위기도 좋고,12
맛있게 먹고,12
맛있어요 직원분들도,11
좋았어요 EMO_POS,11
너무 맛있었어요,10
없이 바로,10
너무 맛있어서,10
진짜 너무,9
분위기 좋고,9
먹고 갑니다,9
대기 없이,9
정말 맛있어요,9
맛있어요 EMO_POS,9
고기도 구워주시고,9
고기 질도,9
잡내 없이,9
직접 구워주시고,9
너무 친절하셔서,8
친절해서 기분,8
너무 친절하고,8
구워주셔서 너무,8
직원분들 너무,7
편하게 먹을,7
웨이팅 하고,7
유명한 곳이라,7
고기도 직접,7
직원분들도 친절하셔서,7
고기를 구워주셔서,7
정말 맛있게,7
음식 너무,7
맛있고 직원분들도,7
매장도 넓고,7
먹는 내내,7
맛있게 먹을,7
너무 맛있었고,6
계속 손이,6
여기 진짜,6
다음에 방문할게요,6
다음에 올게요,6
깔끔하고 맛있어요,6
좋아요 EMO_POS,6
먹고 싶어서,6
맛있게 잘먹었습니다,6
20분 정도,6
너무 좋아서,6
10분 정도,6
다시 방문하고,6
너무 친절하세요,6
먹을 있었어요,6
방문하고 싶은,6
자극적이지 않고,6
친절하시고 고기도,6
직원 분들도,6
주말 저녁에,6
먹을 정도는,6
분위기도 좋아서,5
한입 먹자마자,5
너무 친절해요,5
직원분들도 친절해서,5
고기도 정말,5
좋고 직원분들이,5
고기가 너무,5
같이 나온,5
맛있어요 특히,5
항상 웨이팅,5
고기 퀄리티가,5
너무 좋았어요,5
EMO_POS 직원분들도,5
웨이팅이 너무,5
직원분들도 친절하고,5
미나리 향이,5
정말 맛있고,5
제가 먹어본,5
고기도 부드럽고,5
직원분들 친절하시고,5
친절하시고 음식도,5
음식이 맛있고,5
바로 들어갔어요,5
먹을 있어서,5
양도 넉넉하고,5
정말 친절하시고,5
맛있어요 고기,5
직원분들도 친절하게,5
친절하시고 좋아요,5
인기가 많은,5
음식도 맛있고,4
분위기도 너무,4
고기도 맛있어요,4
같이 먹으면,4
바로 입장했어요,4
진짜 맛있었어요,4
데이트 장소로,4
직원분이 너무,4
매장도 깔끔하고,4
매장 분위기도,4
좋게 식사할,4
웨이팅 줄이,4
먹어보고 싶어요,4
맛있게 다음에,4
완전 추천,4
싶은 곳입니다,4
먹고 나왔습니다,4
엄청 빨리,4
질도 너무,4
좋고 맛있어요,4
친절하시고 분위기도,4
맛있고 친절하고,4
왔는데 너무,4
맛있게 구워주셔서,4
분위기 좋은,4
의사 있음,4
너무 불친절해요,4
자극적이지 않은,4
워낙 유명한,4
맛도 너무,4
정말 맛있었어요,4
음식이 너무,4
맛있습니다 EMO_POS,4
EMO_POS 고기,4
방문하고 싶어요,4
다른 메뉴도,4
식사할 있었습니다,4
맛있고 양도,4
회전율이 빨라서,4
와보고 싶었던,4
편하게 식사할,4
직원분들이 직접,4
없이 먹을,4
깔끔하고 정갈한,4
너무 좋은,4
가성비 좋은,4
잡내도 없고,4
사람이 많은,4
맛있고 직원분들,4
고기 너무,4
너무 길어서,4
고기도 구워주셔서,4
서비스 덕분에,4
분위기가 너무,4
편하고 맛있게,4
브레이크 타임,4
특별한 맛은,4
좋지 않았습니다,4
고기 질이,4
구워주셔서 맛있게,4
친절하셔서 기분,4
먹을 있었다,4
없이 부드럽고,4
모임 장소로,4
먹고 있는데,4
음식도 빨리,4
갑니다 EMO_POS,4
정도는 아님,4
맛있고 서비스도,3
좋은 시간,3
맛있게 먹었던,3
만족스러웠어요 EMO_POS,3
엄청 친절하시고,3
맛은 있으나,3
직원분들 정말,3
맛있어요 양도,3
생각보다 빨리,3
식사할 있었어요,3
주문한 메뉴는,3
고기를 직접,3
고기가 정말,3
아주 맛있게,3
맛도 좋고,3
고기 굽는,3
두번째 방문인데,3
점심 저녁,3
EMO_POS 웨이팅은,3
사장님도 너무,3
진짜 맛있게,3
너무 좋구,3
먹기 좋은,3
빨리 들어갔어요,3
2분 안에,3
포장은 대기없이,3
처음부터 끝까지,3
빨리 빠져서,3
고기도 너무,3
직원분들도 친절하세요,3
좋아요 다음에,3
좋고 구워주셔서,3
친구랑 같이,3
정말 너무,3
구워주시고 고기,3
좋아서 맛있게,3
있긴 했지만,3
먹을 있어,3
하나 없이,3
음식 하나하나,3
매장이 너무,3
좋고 직원분들도,3
직원분들도 친절해요,3
방문하니 바로,3
바로 들어갈,3
고기 구워주시고,3
이유가 있네요,3
금방 빠져서,3
음식은 맛있는데,3
즐길 있었어요,3
웨이팅없이 바로,3
재방문 의사는,3
고기의 질이,3
홍대에서 고기,3
너무 좋습니다,3
고기와 함께,3
기분 나쁘게,3
맛있었어요 EMO_POS,3
EMO_POS 다음에,3
싶었던 곳인데,3
추가 주문,3
전부터 와보고,3
너무 좋았습니다,3
친절해서 좋아요,3
부드럽고 맛있어요,3
하나하나 정성,3
직원분들이 너무,3
친절하세요 EMO_POS,3
정말 맛있었습니다,3
맛있게 먹구,3
먹을 있었고,3
먹을 때마다,3
직원분들도 정말,3
음식도 빠르게,3
좋아서 재방문,3
항상 웨이팅이,3
일하시는 분들도,3
깔끔하니 좋아요,3
보시면 됩니다,3
직원분들이 고기를,3
공기밥 주문하면,3
양도 푸짐하고,3
음식 맛도,3
EMO_POS 특히,3
양도 푸짐해서,3
성수 맛집,3
국물이 진하고,3
친절하시고 맛도,3
친절하고 맛있어요,3
고기 진짜,3
분위기 좋아요,3
음식이 정말,3
위에 올라간,3
기다려서 들어갔는데,3
질도 좋고,3
맛있어서 항상,3
바로 입장해서,3
고기 먹고,3
먹으러 왔는데,3
정말 좋아서,3
일이 있어서,3
맛있게 EMO_POS,3
먹기 좋습니다,3
기분이 좋지,3
가지 않을,3
기분 좋은,3
웨이팅이 조금,3
질이 너무,3
가게 내부도,3
고기 구워주셔서,3
가야지 하다가,3
캐치테이블 예약,3
손님이 많아서,3
직원분들이 친절합니다,3
맛은 있는데,3
직원분도 너무,3
외국인 손님이,3
친절해요 EMO_POS,3
진한 풍미가,3
좋게 식사했어요,3
함께 먹으면,3
없이 들어와서,3
친절해서 너무,3
사장님 너무,3
가성비 좋아요,3
부담 없이,3
바로 앞에,3
없어서 바로,3
질이 좋아서,3
양이 그렇게,3
양이 많고,3
