term,count
EMO_POS EMO_POS,84
직원분들도 너무,31
너무 맛있고,30
너무 맛있어요,29
기분 좋게,24
직원분들도 친절하시고,22
양도 많고,19
재방문 의사,18
너무 친절하시고,17
맛있어요 직원분들도,16
먹고 갑니다,15
직원분들도 친절하셔서,14
너무 좋고,14
너무 맛있게,14
분위기도 좋고,14
너무 좋아요,12
너무 맛있었어요,11
직원분들도 친절하고,11
맛있고 직원분들도,10
진짜 맛있어요,10
맛있게 먹고,9
맛있고 직원분들이,9
직원분들 너무,9
너무 친절하셔서,9
맛있어요 EMO_POS,9
먹을 있었어요,8
웨이팅 없이,8
너무 친절하세요,8
너무 친절하고,8
좋고 직원분들도,8
잡내 없이,8
친절하셔서 기분,8
직원 분들도,8
정말 맛있고,7
직원분들이 너무,7
없이 바로,7
분위기도 너무,7
너무 맛있습니다,7
너무 맛있어서,7
너무 좋았어요,7
정말 맛있어요,7
직원분들도 친절해서,7
가성비 좋아요,7
음식이 맛있고,7
직원분들이 친절합니다,7
방문하고 싶은,7
직접 구워주셔서,7
먹기 좋은,7
진짜 너무,7
고기가 너무,7
고기 질이,6
친절해서 기분,6
좋아요 EMO_POS,6
매장도 넓고,6
맛있었어요 EMO_POS,6
갑니다 EMO_POS,6
가격에 비해,6
가격 대비,6
같이 나오는,6
너무너무 맛있어요,6
가성비도 좋고,6
좋게 식사할,6
좋고 직원분들이,6
너무 너무,6
가성비 좋은,6
음식 너무,6
EMO_POS 직원분들도,6
진짜 맛있고,5
먹는 내내,5
매장 분위기도,5
고기 질도,5
가성비 좋고,5
친절하시고 고기도,5
가격도 착하고,5
자극적이지 않고,5
편하게 식사할,5
맛있게 먹을,5
직원분도 너무,5
직원분들도 친절하세요,5
너무 좋아서,5
직원분들도 친절하게,5
식사할 있었습니다,5
정말 맛있게,5
직원분들이 직접,5
매장도 깔끔하고,5
분위기도 좋아서,5
맛있어요 특히,5
맛있고 직원분들,5
친절하셔서 좋았어요,5
음식이 정말,5
다음에 방문할게요,4
먹고 왔어요,4
맛있고 가성비,4
맛있고 양도,4
부드럽고 맛있어요,4
웨이팅 하는,4
친절하고 맛있어요,4
고기 너무,4
가격도 너무,4
양도 푸짐하고,4
다음에 올게요,4
직원분들이 친절하고,4
16 000원,4
음식점 카페,4
직원분들이 정말,4
같이 나온,4
너무 친절해요,4
친절하게 응대해주셔서,4
왔는데 너무,4
다시 방문하고,4
직원분들이 친절해서,4
먹고 있는데,4
너무 맛있었습니다,4
고기도 맛있고,4
맛있고 분위기도,4
다음에 방문하고,4
정말 좋아요,4
위에 올라간,4
다시 방문할,4
정말 친절하시고,4
고기도 구워주시고,4
분위기 좋고,4
다신 안갑니다,4
14 000원,4
보쌈 칼국수,4
같이 먹으면,4
고기 퀄리티가,4
친절해서 너무,4
먹고 싶어서,4
다만 가격이,4
고기도 부드럽고,4
고기 퀄리티도,4
고기도 너무,4
다른 메뉴도,4
음식이 너무,4
먹으러 왔는데,4
질이 좋아서,3
직원분들 친절해서,3
방문할게요 EMO_POS,3
고기가 정말,3
너무 좋습니다,3
직원분도 친절하시고,3
친절하시고 분위기도,3
수도 있을,3
구수한 맛이,3
15 000원의,3
배부르게 먹을,3
사리 하나,3
대기 없이,3
많고 너무,3
아주 맛있게,3
gt lt,3
좋게 웨이팅,3
질도 너무,3
무엇보다 직원분들이,3
EMO_POS 다음에,3
다음에 와서,3
거의 바로,3
맛은 있는데,3
홍대에서 고기,3
너무 부드럽고,3
먹기 좋습니다,3
다시 가고,3
만족스러운 식사였습니다,3
김치가 너무,3
가성비 최고,3
있어서 너무,3
너무너무 친절하시고,3
매장이 넓고,3
가성비도 좋아요,3
안주도 너무,3
너무 친절해서,3
13 000원,3
000원 입니다,3
대한민국 방방곡곡,3
방방곡곡 도시거리와,3
도시거리와 둘레길을,3
둘레길을 걸어다니면서,3
걸어다니면서 음식점,3
카페 빵집,3
MY플레이스 리뷰어순위,3
리뷰어순위 TOP,3
TOP 30등,3
리뷰 총조회수,3
엄청 부드럽고,3
처음부터 끝까지,3
구워주셔서 맛있게,3
테이블 간격도,3
질이 매우,3
번째 방문인데,3
좋고 음식도,3
구워주셔서 너무,3
양도 생각보다,3
진짜 너무너무,3
캐치테이블로 예약하고,3
친절해요 EMO_POS,3
고기랑 같이,3
양도 푸짐해서,3
응대해주셔서 기분,3
좋게 식사했습니다,3
분위기도 좋아요,3
너무 친절하셔요,3
반찬 구성도,3
좋았어요 EMO_POS,3
방문했는데 너무,3
직원분이 너무,3
아이와 함께,3
직원분이 친절하셔서,3
직원분들도 너무너무,3
특별한 맛은,3
맛있게 잘먹었어요,3
성수에서 고기,3
고기 먹고,3
먹고 싶을,3
먹기만 하면,3
오랜만에 왔는데,3
친절하시고 음식,3
매장이 너무,3
분위기가 좋아요,3
같이 먹기,3
바로 앞에,3
저녁에 가면,3
애매한 시간에,3
직원분들 친절하시고,3
식사할 있었어요,3
가성비가 너무,3
최고입니다 EMO_POS,3
좋고 맛있어요,3
김치말이 국수도,3
기본으로 나오는,3
맛있게 먹구,3
친절하고 매장도,3
먹을 있어서,3
있어서 좋아요,3
싶습니다 EMO_POS,3
여기 진짜,3
재방문 하고,3
하고 싶어요,3
만족스러웠어요 EMO_POS,3
너무 예쁘고,3
친절하셔서 다음에,3
너무 친절하십니다,3
고기도 구워주셔서,3
구워주셔서 편하고,3
돼지갈비 1인분,3
편하게 먹을,3
가격대비 양이,3
좋고 너무,3
존경하는 우리,3
정말 맛있었어요,3
맛있었어요 직원분들도,3
좋게 먹고,3
기대를 많이,3
많이 하고,3
깔끔하고 맛있어요,3
구워주셔서 편하게,3
먹을 있었습니다,3
사이드 메뉴들도,3
웨이팅 끝에,3
먹을 정도의,3
부드럽고 잡내,3
아주 훌륭합니다,3
맛있습니다 특히,3
재방문 의사는,3
분위기가 너무,3
본연의 맛이,3
친절하시고 너무,3
친절하고 음식도,3
깊은 맛이,3
친절하셔서 맛있게,2
맛있게 먹고갑니다,2
음식 나오고,2
따로 있어서,2
맛있어요 직원분도,2
다른 식당,2
너무 친절하게,2
많고 가격도,2
맛있다고 해서,2
사장님도 완전,2
너무 나서,2
직원분들이 친절하시고,2
고기가 엄청,2
뜨거운 육수,2
재방문의사 100,2
이걸 먹고,2
다시는 안갑니다,2
칼국수 보쌈,2
서울 3대,2
데이트 코스로,2
않고 고기,2
고기 퀄리티,2
기분은 안좋았습니다,2
정식 가성비,2
정말 불친절했어요,2
먹으러 갔는데,2
넓고 직원분들이,2
직원분들이 친절해요,2
맛이 없진,2
없진 않다,2
않다 기대가,2
