term,count
EMO_POS EMO_POS EMO_POS,39
맛있어요 EMO_POS EMO_POS,7
친절해서 기분 좋게,6
맛있어요 직원분들도 친절하시고,6
직원분들도 너무 친절하시고,6
고기도 직접 구워주셔서,5
너무 맛있어요 직원분들도,5
음식 너무 맛있고,5
대기 없이 바로,4
직원분들도 친절해서 기분,4
기분 좋게 식사할,4
고기 질도 너무,4
너무 맛있고 직원분들도,4
맛있게 먹고 갑니다,4
웨이팅 없이 바로,4
직접 구워주셔서 편하게,4
좋았어요 EMO_POS EMO_POS,4
음식도 맛있고 서비스도,3
구워주셔서 편하게 먹을,3
워낙 유명한 곳이라,3
직원분들 너무 친절해요,3
다시 방문하고 싶은,3
와보고 싶었던 곳인데,3
직원분들도 친절하시고 좋아요,3
고기 질도 좋고,3
기분이 좋지 않았습니다,3
너무 맛있어요 고기,3
너무 맛있고 직원분들,3
기분 좋게 식사했어요,3
잡내 없이 부드럽고,3
친절하셔서 기분 좋게,3
재방문 의사 있음,3
좋았어요 매장도 깔끔하고,3
분위기도 너무 좋고,2
없이 바로 입장했어요,2
계속 손이 가는,2
계속 손이 가더라고요,2
매장 분위기도 깔끔하고,2
재방문 의사 EMO_POS,2
고기도 정말 맛있어요,2
기분만 상하고 왔네요,2
직접 구워주셔서 정말,2
먹을 맛은 아닌,2
뼈탐삼셥겹살 너무 맛있고,2
너무 맛있고 고기를,2
맛있고 고기를 구워주셔서,2
고기를 구워주셔서 어찌나,2
구워주셔서 어찌나 편한지,2
붙은 부분은 진짜,2
부분은 진짜 특히,2
진짜 특히 맛나네요,2
특히 맛나네요 후시,2
맛나네요 후시 된찌도,2
후시 된찌도 강력추천합니다,2
조합이 너무 좋아서,2
너무 좋았어요 EMO_POS,2
콜키지 프리라 너무,2
물리지 않게 먹을,2
고기도 너무 맛있고,2
직접 맛있게 구워주셔서,2
맛있고 직원분들도 너무,2
직원분들도 너무 친절하세요,2
맛있고 직원분들도 친절하셔서,2
웨이팅이 있긴 했지만,2
부드럽고 같이 나온,2
매장이 너무 더워서,2
분위기 너무 좋고,2
양도 많고 맛있습니다,2
많고 맛있습니다 EMO_POS,2
입니다 EMO_POS EMO_POS,2
맛있어요 직원분들도 너무,2
기분 좋게 먹고,2
좋게 먹고 나왔습니다,2
EMO_POS 직원분들도 친절하고,2
음식이 맛있고 직원이,2
아주 맛있게 잘먹었습니다,2
맛있어서 좋았어요 EMO_POS,2
흑백요리사 나오기 전부터,2
고기를 직접 구워주셔서,2
맛있고 직원분들도 친절하세요,2
직원분들도 친절하세요 분위가,2
친절하세요 분위가 좋고,2
분위가 좋고 단체모임하기에,2
