term,count
EMO_POS EMO_POS EMO_POS,40
맛있어요 EMO_POS EMO_POS,8
맛있게 먹고 갑니다,6
분위기도 너무 좋고,6
분위기도 좋고 음식도,5
너무 맛있어요 직원분들도,4
너무 맛있어요 EMO_POS,4
사장님도 너무 친절하시고,4
직원분들도 너무 친절하시고,3
너무 맛있고 양도,3
잡내 없이 부드럽고,3
맛있어요 직원분들도 친절하시고,3
고기를 직접 구워주셔서,3
양도 진짜 많고,3
너무 맛있어요 특히,3
맛있네요 EMO_POS EMO_POS,3
먹을 있어서 좋아요,3
맛있고 양도 많고,3
너무 맛있어용 EMO_POS,3
고기 질이 너무,3
고기가 진짜 맛있고,2
구워주셔서 편하게 먹을,2
먹을 맛은 아님,2
좋아요 EMO_POS EMO_POS,2
주말에 남편이랑 낮술하러,2
남편이랑 낮술하러 들른,2
낮술하러 들른 각시보쌈,2
들른 각시보쌈 합정점이에요,2
각시보쌈 합정점이에요 합정역,2
합정점이에요 합정역 7번,2
합정역 7번 출구에서,2
7번 출구에서 가까워서,2
출구에서 가까워서 접근성도,2
가까워서 접근성도 좋고,2
접근성도 좋고 항상,2
좋고 항상 손님이,2
항상 손님이 많아서,2
손님이 많아서 웨이팅은,2
많아서 웨이팅은 기본인데,2
웨이팅은 기본인데 그래도,2
기본인데 그래도 기다릴,2
그래도 기다릴 가치,2
기다릴 가치 충분한,2
가치 충분한 곳이에요,2
충분한 곳이에요 EMO_POS,2
곳이에요 EMO_POS 저희는,2
EMO_POS 저희는 점심에만,2
저희는 점심에만 주문,2
점심에만 주문 가능한,2
주문 가능한 보쌈정식을,2
가능한 보쌈정식을 먹었는데,2
보쌈정식을 먹었는데 보쌈,2
먹었는데 보쌈 고기부터,2
보쌈 고기부터 감탄,2
고기부터 감탄 나왔어요,2
감탄 나왔어요 잡내,2
나왔어요 잡내 없이,2
없이 부드럽고 촉촉하게,2
부드럽고 촉촉하게 삶아져서,2
촉촉하게 삶아져서 씹을,2
삶아져서 씹을 때마다,2
씹을 때마다 고기결이,2
때마다 고기결이 살아있고,2
고기결이 살아있고 무생채랑,2
